YEAR,TEAM,4IN5-B2B GP,4IN5-B2B W%,4IN5-B2B AED,3IN4-B2B GP,3IN4-B2B W%,3IN4-B2B AED,B2B GP,B2B W%,B2B AED,3IN4 GP,3IN4 W%,3IN4 AED,1 DAY GP,1 DAY W%,1 DAY AED,2 DAYS GP,2 DAYS W%,2 DAYS AED,3+ DAYS GP,3+ DAYS W%,3+ DAYS AED
19-20,Atlanta,,,,7,0.143,-23.4,5,0.2,-23.8,11,0.273,-12.6,35,0.286,-13.6,2,0.5,-11,7,0.571,-7
19-20,Boston,,,,8,0.5,9.6,2,1,14.7,6,0.333,11.8,42,0.714,12.4,8,0.75,14.5,6,0.667,8.7
19-20,Brooklyn,,,,8,0.125,-15.1,2,0.5,-12.5,6,0.833,5.7,40,0.575,-1.4,11,0.364,-8.9,5,0.2,-6.5
19-20,Charlotte,,,,9,0.222,-6.1,2,0.5,-10.1,7,0.429,-8.2,35,0.343,-4.5,5,0.4,-6.1,7,0.429,-3.5
19-20,Chicago,,,,9,0.778,-2.9,0,0,0,8,0.25,-10.1,37,0.243,-12.4,6,0.5,-7.3,5,0.2,-1.7
19-20,Cleveland,,,,6,0.333,-8.1,6,0.333,-12.6,10,0.1,-13.8,28,0.286,-8.6,10,0.5,-1.1,5,0.2,-20
19-20,Dallas,,,,9,0.556,8.9,4,0.5,13,8,0.5,2.8,41,0.585,10.8,7,0.571,15.3,6,0.667,10.4
19-20,Denver,,,,6,0.667,2.7,5,0.8,9.3,7,0.143,-6.4,38,0.711,9.4,13,0.692,6.5,4,0.25,-5.8
19-20,Detroit,,,,8,0.125,-4.6,3,0,-8,9,0.444,0.1,31,0.323,1.5,12,0.333,3.2,3,0.333,-2.3
19-20,Golden State,,,,6,0,-23.8,1,1,10.5,6,0.333,-8,40,0.275,-10.7,9,0.111,-12.7,3,0,-23.8
19-20,Houston,,,,7,0.429,-2,3,0,-16.6,9,0.667,6.3,37,0.649,3.3,12,0.667,8,4,0.75,10.4
19-20,Indiana,,,,7,0.571,0.7,2,0,-17.5,7,0.571,9.2,45,0.667,4.2,7,0.571,5.2,5,0.6,1.1
19-20,LA Clippers,,,,8,0.5,2.1,3,0.667,16.2,5,0.6,9.5,38,0.816,10.2,12,0.5,-0.6,6,0.5,0
